                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.7673,                 1.0149,                 1.1537,                0.89649,                0.74196,                   0.92,                0.56723,                 0.7886,                0.59343,                0.84923,              0.0002377,              0.0002377,              0.0002377
                     80,                0.81988,                 1.0033,                  1.166,                0.87982,                   0.75,                   0.92,                0.57629,                0.74059,                0.56329,                0.82129,              0.0002278,              0.0002278,              0.0002278
                     81,                0.83934,                 1.0743,                  1.194,                0.72634,                  0.875,                   0.92,                0.54579,                0.69867,                0.58114,                0.77409,              0.0002179,              0.0002179,              0.0002179
                     82,                0.80131,                 1.0289,                 1.1712,                0.75598,                  0.875,                0.91167,                0.52789,                0.67516,                0.59431,                0.72691,               0.000208,               0.000208,               0.000208
                     83,                0.75865,                 1.0327,                 1.1774,                0.77701,                  0.875,                   0.92,                0.55948,                0.65888,                0.55791,                0.72114,              0.0001981,              0.0001981,              0.0001981
                     84,                0.74225,                 0.9922,                 1.1556,                0.67441,                      1,                0.95333,                0.56283,                0.68236,                 0.5374,                0.75512,              0.0001882,              0.0001882,              0.0001882
                     85,                0.77563,                 1.0069,                 1.1791,                0.76896,                      1,                0.95333,                0.57677,                0.74385,                0.54341,                0.82234,              0.0001783,              0.0001783,              0.0001783
                     86,                0.78167,                 1.0665,                 1.1595,                0.77513,                  0.875,                0.95333,                0.59914,                0.79439,                0.55331,                0.86555,              0.0001684,              0.0001684,              0.0001684
                     87,                0.77035,                0.95701,                 1.1603,                0.71126,                  0.875,                0.95333,                0.55801,                0.77019,                 0.5493,                0.82902,              0.0001585,              0.0001585,              0.0001585
                     88,                0.79178,                 1.0808,                 1.1711,                0.74158,                  0.875,                0.95333,                0.57054,                0.70873,                0.53765,                0.76695,              0.0001486,              0.0001486,              0.0001486
                     89,                0.75193,                0.93008,                 1.1366,                0.78427,                  0.875,                0.95333,                0.55699,                 0.6692,                0.55028,                0.73574,              0.0001387,              0.0001387,              0.0001387
                     90,                0.74677,                 1.0253,                 1.1576,                0.78918,                  0.875,                0.95333,                0.54479,                0.68407,                 0.5549,                0.75026,              0.0001288,              0.0001288,              0.0001288
                     91,                0.96178,                 1.1197,                 1.1854,                0.62452,                  0.875,                0.91167,                0.54998,                0.66502,                0.54004,                0.74517,              0.0001189,              0.0001189,              0.0001189
                     92,                0.90391,                 1.0813,                 1.1354,                 0.6333,                      1,                0.95333,                0.55314,                0.63267,                0.53947,                0.71969,               0.000109,               0.000109,               0.000109
                     93,                0.87188,                0.98763,                 1.1108,                0.60193,                  0.875,                   0.92,                0.55347,                0.64294,                0.54191,                0.70871,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.81638,                0.97596,                  1.078,                  0.747,                  0.875,                   0.92,                 0.5941,                0.63998,                0.53986,                0.68582,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 0.7993,                0.96685,                 1.1003,                0.77597,                  0.875,                   0.92,                0.62802,                0.64439,                0.54371,                0.69548,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.80916,                0.93879,                 1.0872,                0.76652,                0.88502,                0.95333,                0.61395,                0.64743,                0.54841,                0.70444,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.79146,                0.92112,                 1.1065,                0.74938,                0.88228,                0.95333,                0.62517,                0.66038,                0.53925,                0.71465,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.81101,                 0.9453,                 1.0968,                0.73809,                  0.875,                0.95333,                0.61395,                0.66042,                0.53498,                  0.708,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.77749,                0.89406,                 1.0923,                0.73921,                  0.875,                0.95333,                0.62659,                0.64742,                0.52819,                0.69396,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.76577,                0.86763,                 1.0754,                0.74038,                  0.875,                   0.92,                0.62185,                0.63726,                0.52545,                 0.6786,               2.98e-05,               2.98e-05,               2.98e-05
